period,tau,delta,bls_period,nuance_period
1.1,7.180374727086953,13.765456247790386,2.815015015015015,1.0994994994994995
1.1,7.231212485077365,10.483847917094092,1.6720720720720723,1.0994994994994995
1.1,0.35666969509612423,10.956273063335892,1.114914914914915,1.0994994994994995
1.1,7.110663443919238,13.81486777410693,2.6960960960960962,1.0994994994994995
1.1,5.517599266839651,24.179042991440546,1.3087087087087088,1.0994994994994995
1.1,8.720249831156027,5.627629960134513,1.0994994994994995,1.0994994994994995
1.1,3.3866000724816545,22.33221777075644,1.092892892892893,1.0994994994994995
1.1,7.821196043177135,2.0000764054115336,1.0994994994994995,1.0994994994994995
1.1,9.688552561927226,21.848392129516224,2.3811811811811814,1.0994994994994995
1.1,5.068558462272514,0.35831643175392885,1.0994994994994995,1.0994994994994995
1.1,0.3054442986580749,19.305884017341974,1.5333333333333334,1.0972972972972974
1.1,0.2928048907274834,4.588715253031553,2.7071071071071073,1.0994994994994995
1.1,7.4264919955025075,3.9386547752538417,1.0994994994994995,1.0994994994994995
1.1,2.451658078345632,19.46479002328812,1.5663663663663665,1.0994994994994995
1.1,7.754334015585038,12.897189259939987,1.89009009009009,1.0994994994994995
1.1,1.871069656717885,21.23556066198761,1.2228228228228228,1.0994994994994995
1.1,5.2793170798666935,5.6599478709231175,1.9825825825825827,1.0994994994994995
1.1,5.352808880492412,7.437158566909031,0.8198198198198199,1.0994994994994995
1.1,5.103988399974945,16.29431861931583,0.822022022022022,1.0994994994994995
1.1,7.636372195081077,2.528586683561344,1.0994994994994995,1.0994994994994995
1.1,8.987365906303237,14.744456946824128,1.476076076076076,1.0994994994994995
1.1,2.962185631919187,1.3132495321472695,0.9475475475475477,1.0994994994994995
1.1,4.868642511457322,5.290667380235181,2.7115115115115116,1.0994994994994995
1.1,9.47492977776666,12.980717307780072,1.0994994994994995,1.0994994994994995
1.1,7.025169294500803,24.00443085306437,2.5155155155155158,1.0994994994994995
1.1,5.864541593858342,21.766091002017575,2.859059059059059,1.0994994994994995
1.1,5.241975645122477,7.767580320361773,0.8308308308308309,1.0994994994994995
1.1,8.164379030896072,10.700463121920505,1.0994994994994995,1.0994994994994995
1.1,5.656272063043647,18.252442182999065,1.31971971971972,1.0994994994994995
1.1,2.9205690557535053,21.607623640695063,0.8946946946946948,1.0994994994994995
1.1,3.869410047387654,16.13917404810154,2.6872872872872877,1.0994994994994995
1.1,9.5852451085381,7.222740159346839,1.0994994994994995,1.0994994994994995
1.1,3.7898404342552716,21.486342755596688,2.0618618618618623,1.0994994994994995
1.1,4.5547566684028755,6.287902173199475,1.6126126126126126,1.0994994994994995
1.1,7.822994559194282,1.0601858539471003,1.0994994994994995,1.0994994994994995
1.1,3.1526611089526253,11.505568210779854,1.0576576576576577,1.0994994994994995
1.1,6.055980702465112,18.239829070733567,1.4364364364364364,1.0994994994994995
1.1,4.694571925613635,23.61796541114694,1.531131131131131,1.0994994994994995
1.1,8.611107681247129,9.68085067596692,1.0994994994994995,1.0994994994994995
1.1,7.999200310697792,13.717539988019332,1.0994994994994995,1.0994994994994995
1.1,0.6481237971074149,10.251406999199125,1.3307307307307308,1.0994994994994995
1.1,0.5563486246588564,6.34799823124901,1.0268268268268268,1.0994994994994995
1.1,9.51207163345817,9.426048959299326,1.0994994994994995,1.0994994994994995
1.1,6.129758738866866,2.964858703105496,1.0994994994994995,1.0994994994994995
1.1,1.1374814332617105,20.88756950177467,2.8656656656656656,1.0994994994994995
1.1,5.540492795762782,24.72638668554244,2.4340340340340343,1.0994994994994995
1.1,6.3848536899220285,19.61742553506319,2.8656656656656656,1.0994994994994995
1.1,9.747382634920921,2.925862950151873,1.0994994994994995,1.0994994994994995
1.1,8.926575345084558,0.5355077461857004,1.0994994994994995,1.0994994994994995
1.1,2.545912136421963,7.594014950812273,0.8066066066066067,1.0994994994994995
1.1,2.3580227340484288,12.415580973896732,1.8812812812812814,1.0994994994994995
1.1,0.5426506038091657,16.92571224603845,1.702902902902903,0.8176176176176176
1.1,0.3585680175416866,20.59544748367382,1.8196196196196197,2.0684684684684687
1.1,5.655538848623839,21.181893939532333,0.8594594594594596,1.0994994994994995
1.1,3.696071019954348,10.562555881805268,1.5201201201201202,1.0994994994994995
